regime,month,log_E,log_M
legacy_null,15,6.908755,27.635019
legacy_null,16,6.908755,34.543774
legacy_null,17,6.908755,41.452529
legacy_null,18,6.908755,48.361283
legacy_null,19,6.908755,55.270038
legacy_null,20,6.908755,62.178793
legacy_null,21,6.908752,69.087545
legacy_null,22,6.908755,75.996299
legacy_null,23,6.908755,82.905054
legacy_null,24,6.908755,89.813809
legacy_null,25,6.908755,96.722564
legacy_null,26,6.908755,103.631318
legacy_null,27,6.908755,110.540073
legacy_null,28,6.908755,117.448828
legacy_null,29,6.908755,124.357583
legacy_null,30,6.908755,131.266338
legacy_null,31,6.908755,138.175092
legacy_null,32,6.908755,145.083847
legacy_null,33,6.908755,151.992602
legacy_null,34,6.908755,158.901357
legacy_null,35,6.908755,165.810111
legacy_null,36,6.908755,172.718866
legacy_null,37,6.908755,179.627621
legacy_null,38,6.908755,186.536376
legacy_null,39,6.908755,193.445131
legacy_null,40,6.908755,200.353885
legacy_null,41,6.908755,207.262640
legacy_null,42,6.908755,214.171395
legacy_null,43,6.908755,221.080150
legacy_null,44,6.908755,227.988904
legacy_null,45,6.908755,234.897659
legacy_null,46,6.908755,241.806414
legacy_null,47,6.908755,248.715169
legacy_null,48,6.908755,255.623924
legacy_null,49,6.908755,262.532678
legacy_null,50,6.908755,269.441433
legacy_null,51,6.908755,276.350188
legacy_null,52,6.908755,283.258943
legacy_null,53,6.908755,290.167697
legacy_null,54,6.908755,297.076452
legacy_null,55,6.908755,303.985207
legacy_null,56,6.908755,310.893962
legacy_null,57,6.908755,317.802717
legacy_null,58,6.908755,324.711471
legacy_null,59,6.908755,331.620226
